Sun Exposure,Color,Blooming Period,Fruit?,Type,Size,Score,Plant,Good?
sun,yellow,summer,FALSE,vine,large,10.0,Mexican Zinnia,False
partial sun,red,summer,TRUE,annual,medium,10.0,Giant Turk's Cap,False
shade,orange,fall,FALSE,perennial,medium,10.0,Giant Turk's Cap,True
shade,orange,spring,FALSE,tropical,medium,10.0,Giant Turk's Cap,True
sun,pink,spring,FALSE,annual,medium,10.0,Pam's Pink American Honeysuckle,False
sun,orange,summer,TRUE,perennial,large,10.0,Mexican Zinnia,False
partial sun,blue,summer,TRUE,perennial,large,10.0,Giant Turk's Cap,False
partial sun,orange,winter,FALSE,vine,large,10.0,Pam's Pink American Honeysuckle,False
shade,pink,winter,TRUE,vine,small,10.0,Pam's Pink American Honeysuckle,True
partial sun,white,summer,FALSE,perennial,medium,10.0,Giant Turk's Cap,False
sun,yellow,winter,FALSE,annual,medium,10.0,Pam's Pink American Honeysuckle,False
partial sun,blue,spring,TRUE,vine,small,10.0,Giant Turk's Cap,False
sun,red,winter,TRUE,tropical,large,10.0,Pam's Pink American Honeysuckle,False
shade,red,winter,FALSE,vine,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,white,summer,FALSE,annual,large,10.0,Giant Turk's Cap,False
sun,orange,spring,TRUE,vine,large,10.0,Mexican Zinnia,False
partial sun,blue,fall,TRUE,shrub,medium,10.0,Giant Turk's Cap,False
shade,pink,winter,FALSE,shrub,large,10.0,Giant Turk's Cap,False
partial sun,pink,summer,TRUE,vine,large,10.0,Giant Turk's Cap,False
partial sun,pink,fall,TRUE,shrub,large,10.0,Giant Turk's Cap,True
shade,orange,winter,TRUE,tropical,small,10.0,Giant Turk's Cap,False
shade,orange,summer,TRUE,tropical,large,10.0,Giant Turk's Cap,False
partial sun,orange,winter,TRUE,annual,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,blue,spring,FALSE,perennial,small,10.0,Giant Turk's Cap,False
sun,pink,summer,TRUE,tropical,medium,10.0,Pam's Pink American Honeysuckle,False
sun,orange,summer,FALSE,annual,medium,10.0,Mexican Zinnia,True
sun,pink,spring,FALSE,tropical,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,blue,summer,TRUE,shrub,medium,10.0,Giant Turk's Cap,True
shade,yellow,spring,TRUE,tropical,large,10.0,Giant Turk's Cap,False
sun,red,summer,FALSE,shrub,medium,10.0,Giant Turk's Cap,False
sun,white,fall,FALSE,tropical,large,10.0,Giant Turk's Cap,False
partial sun,pink,summer,TRUE,tropical,medium,10.0,Giant Turk's Cap,True
partial sun,yellow,fall,FALSE,tropical,large,10.0,Giant Turk's Cap,False
sun,orange,summer,FALSE,tropical,medium,10.0,Mexican Zinnia,True
partial sun,blue,spring,TRUE,perennial,large,10.0,Giant Turk's Cap,False
shade,yellow,fall,FALSE,shrub,large,10.0,Giant Turk's Cap,False
shade,orange,summer,FALSE,tropical,small,10.0,Giant Turk's Cap,True
partial sun,orange,fall,FALSE,tropical,medium,10.0,Giant Turk's Cap,True
partial sun,white,fall,FALSE,perennial,medium,10.0,Giant Turk's Cap,False
sun,orange,winter,TRUE,annual,medium,10.0,Pam's Pink American Honeysuckle,False
shade,pink,winter,FALSE,annual,large,10.0,Pam's Pink American Honeysuckle,False
sun,blue,summer,TRUE,shrub,small,10.0,Pam's Pink American Honeysuckle,False
shade,white,summer,TRUE,vine,large,10.0,Pam's Pink American Honeysuckle,True
shade,white,fall,TRUE,tropical,medium,10.0,Pam's Pink American Honeysuckle,False
sun,pink,fall,FALSE,vine,large,10.0,Pam's Pink American Honeysuckle,True
partial sun,red,winter,FALSE,tropical,large,10.0,Pam's Pink American Honeysuckle,False
shade,white,fall,FALSE,tropical,large,10.0,Pam's Pink American Honeysuckle,False
shade,pink,summer,TRUE,tropical,medium,10.0,Pam's Pink American Honeysuckle,False
shade,pink,spring,TRUE,annual,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,yellow,winter,TRUE,tropical,large,10.0,Pam's Pink American Honeysuckle,False
shade,white,spring,FALSE,tropical,small,10.0,Pam's Pink American Honeysuckle,False
