Name,Region,Scientific Name,Sun Exposure,Rating,Description,Habit or Use,Color,Blooming Period,Fruit Characteristics,Height,Width,Firewise Index,Additional Comments,Heat Tolerance,Water Requirements,Soil Requirements,Pest Tolerance,Fertility Requirements
Indian Paintbrush,0,Castilleja indivisa,"sun, partial sun",See note regarding cool season annuals,"Indian Paintbrush, a reseeding annual, is one of Texas' most widely recognized wildflowers. Its occurance is often accompanied by that of Bluebonnets (Lupinus spp.), one of the genera on which it is parasitic. The orange to red-orange flowers are its aesthetic feature. Steeped in Texas legend. Does not perform particularly well in cultivated gardens, best left as a wildflower.","Annual, cool season annual, transition season annual","Orange to red-orange, closely related species have yellow to purple flowers.",Spring,"Not ornamental, leave to form seed for next year",18,15,None,Tolerant of most any sunny well drained site. Sow seeds in autumn.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Texas Bluebonnet,0,Lupinus texensis,"sun, partial sun",See note regarding cool season annuals,"Texas Bluebonnets are one of six Lupinus spp. that are considered to be the Texas state flowers. While long valued as Texas' premier wildflower, creating seas of blue hillsides in spring, there has been a movement of late to plant bluebonnet seedlings as cool season bedding plants. Selection work by Texas A&M University Extension personnel has expanded the color range from blue to maroon (wouldn't you know it with Aggies involved), pink, or white.",Cool season annual,"Blue, maroon, pink, and white",Spring,"Not ornamental, allow some to develop if reseeding is desired",15,21,None,Tolerate most well drained soils; use scarified seed to maximize the seedlings during the first year after sowing.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Goldenball Leadtree,0,Leucaena retusa,"sun, partial sun",10,Goldenball Leadtree is an underutilized Texas native small single or multi-stem tree. Used in West and South Texas as a small patio or courtyard tree. It casts a filtered shade and has outstanding bright yellow flowers spring to fall; largest flushes after rain events.,Small tree,Bright yellow powerpuffs of showy stamens,"Spring, summer, fall","Brown pods, 3 inch to 10 inch in length, not ornamental",240,240,9,"Soil pH adaptable, prefers good drainage, very drought tolerant, can withstand reflected heat. Branches tend to be brittle in high winds or under snow or ice loads.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
"Texas Sage, Cenizo, or Texas Ranger",0,Leucophyllum frutescens,sun,10,"Texas Sage is perhaps the most widely planted of the native Trans Pecos plants in landscapes outside that region. Valued for its outstanding gray-green to siver-gray foliage and purple-pink flowers, it is suprisingly adapted to useage in much of the southern two thirds of Texas. A good semi-evergreen shrub with summer interest. Benefits from occasional pruning to enhance canopy density.","Medium shrub, large shrub","Purple-pink, pink, or occasionally white, most profusely borne after summer rains","Spring, summer, fall","Capsule, not important",72,60,9,"Tolerates most soils as long as they are well drained. Frequently killed by kindness (over irrigation). Not particularly well adapted to humid regions, best in drier atmospheric regions. Tends to become leggy with age.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Common Trumpetcreeper,0,Campsis radicans,"sun, partial sun",10,"Common Trumpetcreepers are rampant native Texas deciduous clinging (aerial rootlets) vines. The coarse-textured foliage is in keeping with the large trumpet-shaped orange, red-orange, or yellow flowers. Tough as nails, but somewhat overpowering in small landscapes. Serves as a good hummingbird plant. Best on large pergolas, arbors, etc. that can support the heavy trunk. Can climb vertical surfaces over time.",Vine,"Clusters of orange, red-orange, or yellow trumpets","Summer, fall","Two valved capsule with winged seeds, not ornamental",0,0,6,"One tough hombre, difficult to kill once established; quickly becomes weedy; requires substantial pruning to remain presentable.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Violet Silverleaf,0,Leucophyllum candidum,sun,10,"Violet Silverleaf is very similar to Leucophyllum frutescens, but is perhaps even more attractive. The silver-gray to silver-white foliage is striking and is the perfect foil for the violet flowers that follow rain events. Smaller and denser plant than L. frutescens.","Shrub, small shrub, medium shrub",Violet to dark purple,"Spring, summer, fall","Capsule, not important",36,36,9,"Requires absolutely good drainage. Super shrub for West Texas, dislikes humidity of East Texas.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Bay Laurel,0,Laurus nobilis,"sun, partial sun",10,Bay Laurel is the classic laurel of antiquity used to fashion victory wreaths for ancient Greek and Roman generals and athletes. It also serves as a handsome upright growing evergreen larger shrub to small tree. The foliage is bay scented when crushed.,"Medium shrub, large shrub, small tree","White, not particularly ornamental",Spring,"Small roundish black berries, not ornamental",150,120,7,Also an important culinary herb. A moderately slow growing species.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Creosote Bush,0,Larrea tridentata,sun,10,Creosote Bush is a trademark plant of the Southwestern USA. This evergreen arid region shrub covers many acres of otherwise non-vegetated land. It forms an irregular spreading to upright rounded small to medium size mound. Scent from the fragrant yellow flowers permeates the air following rain events. Difficult to grown in Central and East Texas.,"Small shrub, medium shrub","Pale yellow, mildly attractive a close inspection, very fragrant","Spring, summer, fall","Indeshiscent capsules, mildly interesting",21,54,8,"Can exist on as little as 3 inch of rainfall per year; incredible drought and heat tolerance, can be used in protected locations in USDA zone 7. Some clonal groupings are reported to be among the oldest living organisms in the world.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Eastern Redcedar,0,Juniperus virginiana,sun,10,"Juniperus virginiana is a variable coniferous species ranging from Canada to the Southern USA. Shape and foliage color vary, with clones selected that mature in height from 4 ft to 50 ft. Some individuals have blue berries from late spring to early autumn. Pollen of this species is a major contributor to alleries in some people. This species can be used for nearly every purpose that an evergreen can serve.","Groundcover, shrub, small shrub, medium shrub, large shrub, spreading conifer, upright conifer, tree, small tree, medium tree, topiary",Inconspicuous,Spring,"Green to attractive silver-blue resinous cones, non-factor to major winter asset, cultivar dependent",324,120,5,"One of our most versatile conifers. These shrubs or trees can be grown in nearly any soil as long as it is well drained and the site is not shady. Juniper blight, spider mites, bagworms, cedar-apple rust, and root rots on wet soils can be limitations.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Liriope or Lilyturf,0,Liriope muscari,"sun, partial sun, shade",10,Liriope forms a dense evergreen clump 8 inch to 18 inch tall and wide. Can be used on tight spacings as a groundcover or for edging or specialty work. Blue-purple to white flowers are more attractive than those of Ophiopogon spp. Better adapted to full sun locations in Texas than most Ophiopogon spp. Very versatile plant.,"Perennial, groundcover","Blue-purple to white, spikes at or above the foliage",Summer,"Blue-black berry-like fruit, late summer to fall, mildly interesting",13,13,8,Variegated forms are available and benefit from some afternoon shade; few limitations and hence an over-utilized plant.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Winter Honeysuckle,0,Lonicera fragrantissima,"sun, partial sun",10,"Winter Honeysuckle is a deciduous shrub valued for its late winter to early spring fragrant flowers. While very durable, the shrub possesses little ornamental merit aside from the off-season flowers.","Medium shrub, large shrub","Creamy white, small, mildly interesting, but very fragrant","Spring, winter",Not ornamental,84,84,6,An old-fashion shrub that would hold little interest if the flowering did not occur when little else was in bloom. Has become weedy in some locales.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Pam's Pink American Honeysuckle,0,Lonicera x americana,sun,10,"Pam's Pink American Honeysuckle is a vigorous but less rampant semi-evergreen vine than Lonicera sempervirens or Lonicera japonica. The green to blue-green foliage is similar to L. sempervirens, but with prominently purple stems. The tubular pink buds open to expose a white throat. Flowering peaks in spring and occurs sporadically thereafter throughout summer, fall, and even mild winters.",Vine,Pink with a white throat,"Spring, summer, fall, winter",Not ornamental,240,240,8,"As long as the soil is moderately well-drained and not excessively droughty this vine is easily established. I have observed limited infestation with leaf miner, but no powdery mildew.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Osage Orange (Horse Apple),0,Maclura pomifera,"sun, partial sun",10,Osage Orange is a large shrub to medium size deciduous tree with a rounded spreading canopy of dark glossy green leaves. It is native to Texas and Oklahoma and is useful as a shade tree for very difficult sites. Spiny forms are used as living fences and the wood was once a favorite manufacture of bows by native Americans.,"Large shrub, small tree, medium tree","Green, small, not ornamental",Spring,"Grapefruit-sized globose syncarp of drupes on female trees, not edible and a maintenance liability",330,390,9,"A tough adaptable plant that has few pest/disease problems, but limited ornamental appeal. Use of mature thornless male selections is encouraged if it is intended as a shade tree.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Giant Turk's Cap,0,Malvaviscus arboreus var. mexicanus,"sun, partial sun",10,Giant Turk's Cap is a subtropical perennial or woody shrub often planted as a summer annual in cooler regions. The dark green leaves contrast with the large drooping red blossoms.,"Warm season annual, perennial, small shrub, medium shrub, tropical","Bright red, rarely white","Spring, summer, fall","Red berry-like fruit, wildlife food",96,20,9,"Less cold and shade tolerant than M. arboreus var. drummondii, but leaves do not distort in sunny locations.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Yellow Bird Of Paradise,0,Caesalpinia gilliesii,sun,10,"The Yellow Bird Of Paradise is a semi-evergreen medium shrub to small tree suitable for use in South Texas. The flowers are similar to those of Caesalpinia pulcherrima but more yellow than red and not quite as fantastic, although certainly still outstanding. Caesalpinia gilliesii offers a more cold hardy alternative to C. pulcherrima. Can be used as a herbaceous perennial in Central Texas and a container plant northward.","Annual, medium shrub, large shrub, small tree, tropical","Yellow with some red, very effective in terminal panicles","Spring, summer, fall","Pod, not ornamental, reportedly poisonous",60,78,8,"Tends to require regular pruning and staking to acheive a tree form. While drought tolerant, regular irrigation increases growth rates and flowering. Requires well drained soils. Marginal shoot hardiness in USDA zone 8, more herbaceous perennial or subshrub in z.8.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
