Name,Region,Scientific Name,Sun Exposure,Rating
Indian Paintbrush,0,Castilleja indivisa,"sun, partial sun",See note regarding cool season annuals
Texas Bluebonnet,0,Lupinus texensis,"sun, partial sun",See note regarding cool season annuals
Goldenball Leadtree,0,Leucaena retusa,"sun, partial sun",10.00
"Texas Sage, Cenizo, or Texas Ranger",0,Leucophyllum frutescens,sun,10.00
Common Trumpetcreeper,0,Campsis radicans,"sun, partial sun",10.00
Violet Silverleaf,0,Leucophyllum candidum,sun,10.00
Bay Laurel,0,Laurus nobilis,"sun, partial sun",10.00
Creosote Bush,0,Larrea tridentata,sun,10.00
Eastern Redcedar,0,Juniperus virginiana,sun,10.00
Liriope or Lilyturf,0,Liriope muscari,"sun, partial sun, shade",10.00
Winter Honeysuckle,0,Lonicera fragrantissima,"sun, partial sun",10.00
Pam's Pink American Honeysuckle,0,Lonicera x americana,sun,10.00
Osage Orange (Horse Apple),0,Maclura pomifera,"sun, partial sun",10.00
Giant Turk's Cap,0,Malvaviscus arboreus var. mexicanus,"sun, partial sun",10.00
Yellow Bird Of Paradise,0,Caesalpinia gilliesii,sun,10.00
Turk's Cap,0,Malvaviscus arboreus var. drummondii,"sun, partial sun, shade",10.00
Heavenly Bamboo or Nandina,0,Nandina domestica,"sun, partial sun, shade",10.00
Rockrose,0,Pavonia lasiopetala,"sun, partial sun",10.00
Ash Juniper,0,Juniperus ashei,sun,10.00
"Anacahuite, Texas Olive, or Mexican Olive",0,Cordia boissieri,"sun, partial sun",10.00
Primrose Jasmine,0,Jasminum mesnyi,"sun, partial sun",10.00
Dwarf Pampas Grass,0,Cortaderia selloana,"sun, partial sun",10.00
Gray Cotoneaster,0,Cotoneaster glaucophyllus,sun,10.00
Sotol or Desert Spoon,0,Dasylirion spp.,sun,10.00
Texas Persimmon,0,Diospyros texana,sun,10.00
Desert Willow,0,Chilopsis linearis,sun,10.00
"Eucalyptus, Gum Tree, or Ironbarks",0,Eucalyptus spp.,sun,10.00
Texas Kidneywood,0,Eysenhardtia texana,"sun, partial sun",10.00
Apache Plume,0,Fallugia paradoxa,"sun, partial sun",10.00
Common Fig,0,Ficus carica,sun,10.00
Texas Redbud,0,Cercis canadensis var. texensis,sun,10.00
Mexican Redbud,0,Cercis canadensis var. mexicana,sun,10.00
Ocotillo,0,Fouquieria splendens,sun,10.00
Carolina Jessamine,0,Gelsemium sempervirens,"partial sun, shade",10.00
Tree Cholla,0,Opuntia imbricata,sun,10.00
Red Yucca,0,Hesperaloe parviflora,"sun, partial sun",10.00
Shrub Morning Glory or Bush Morning Glory,0,Ipomoea carnea subsp. fistulosa (Ipomoea fistulosa),sun,10.00
Common Morning Glory,0,Ipomoea purpurea,sun,10.00
Aleppo Pine,0,Pinus halepensis,sun,10.00
Spanish Daggers or Yucca,0,Yucca spp.,sun,10.00
Showy Stonecrop Sedum,0,Sedum spectabile,"sun, partial sun",10.00
Hen-And-Chicks,0,Sempervivum tectorum,sun,10.00
